,midi_nunique_inst,midi_nunique_note,midi_num_notes,midi_min_note,midi_second_quintile_note,midi_median_note,midi_fourth_quintile_note,midi_max_note,midi_avg_notes_inst,seconds
70,5,45,225990,38,64,72,77,89,45198.0,245
71,3,55,198967,36,60,67,74,91,66322.33333333333,371
73,3,51,131111,37,58,66,74,88,43703.66666666666,226
74,2,69,373361,27,49,62,72,95,186680.5,897
75,2,61,237058,31,57,64,74,95,118529.0,352
76,2,72,327701,26,51,62,73,99,163850.5,403
77,2,57,216042,36,51,61,71,93,108021.0,410
79,2,54,139537,27,53,62,70,92,69768.5,232
80,2,63,197829,24,56,64,71,93,98914.5,294
81,8,62,340940,34,55,64,72,96,42617.5,518
82,8,59,435572,36,59,68,76,97,54446.5,274
83,3,58,121589,36,56,62,68,94,40529.66666666666,429
84,3,57,256386,36,57,65,74,92,85462.0,381
85,3,60,506579,36,57,66,74,97,168859.66666666666,501
87,4,67,498172,28,52,62,70,96,124543.0,476
89,4,76,692358,26,56,67,76,103,173089.5,533
90,3,60,506165,36,54,63,70,96,168721.66666666666,894
91,3,59,371407,36,55,62,71,95,123802.33333333331,606
92,3,58,227280,36,55,65,74,96,75760.0,192
94,3,66,238368,26,55,63,70,94,79456.0,482
95,3,70,402671,24,53,64,72,94,134223.66666666666,466
96,3,74,124255,23,48,63,71,97,41418.333333333336,446
98,4,71,473880,25,55,62,69,96,118470.0,639
99,4,80,185353,23,51,58,68,104,46338.25,193
100,4,72,237352,27,57,64,74,101,59338.0,612
101,4,76,487339,21,55,62,70,98,121834.75,519
102,3,57,369345,36,58,65,70,93,123115.0,490
103,3,55,338781,36,58,65,73,91,112927.0,355
104,3,57,222660,36,57,64,72,94,74220.0,505
105,4,57,440933,36,57,65,72,93,110233.25,293
107,1,22,40696,59,71,74,78,83,40696.0,102
108,1,42,33380,37,59,70,77,84,33380.0,100
109,1,44,91433,37,55,65,72,84,91433.0,155
110,1,38,53380,44,58,65,75,84,53380.0,75
111,1,45,47932,38,56,65,72,84,47932.0,197
112,1,45,45427,36,53,62,69,82,45427.0,113
113,1,43,45632,36,57,64,72,84,45632.0,134
115,1,27,66708,62,71,75,79,91,66708.0,156
116,1,25,23074,62,72,76,81,92,23074.0,132
117,1,44,51690,40,55,64,73,84,51690.0,89
118,1,43,78708,36,57,63,72,84,78708.0,120
119,1,46,81818,36,54,64,71,83,81818.0,160
120,1,44,45827,36,56,66,72,84,45827.0,178
121,1,45,82355,39,53,61,68,84,82355.0,237
122,1,45,34479,36,56,65,72,84,34479.0,173
123,1,45,47042,36,55,65,71,84,47042.0,115
124,1,35,64536,36,53,59,64,80,64536.0,107
125,1,39,48218,40,57,65,72,84,48218.0,116
126,1,29,53242,36,48,53,57,67,53242.0,186
127,1,25,51474,36,48,53,57,67,51474.0,199
129,1,27,23008,36,49,54,58,67,23008.0,302
130,1,22,48077,36,50,55,59,65,48077.0,241
131,1,28,55290,36,50,53,57,67,55290.0,202
132,1,44,61521,38,56,65,73,84,61521.0,108
133,1,43,88712,38,55,63,71,84,88712.0,213
134,1,42,55529,41,55,62,69,84,55529.0,129
136,1,47,152837,38,55,64,71,84,152837.0,244
137,1,44,38503,36,56,65,72,83,38503.0,84
138,1,41,61632,39,58,66,74,84,61632.0,115
140,1,44,56762,36,54,62,71,84,56762.0,64
141,1,40,54736,37,56,64,71,83,54736.0,109
143,1,40,54640,36,53,61,70,84,54640.0,120
144,1,32,42549,39,55,63,70,82,42549.0,92
145,3,28,43425,55,67,72,77,82,14475.0,242
146,3,35,116745,55,66,72,77,89,38915.0,312
148,1,30,113467,55,66,70,74,86,113467.0,214
149,1,38,46985,37,57,64,71,83,46985.0,81
150,1,42,27893,40,56,66,71,83,27893.0,104
151,2,49,70907,35,61,71,76,86,35453.5,313
152,2,46,155503,37,59,70,76,86,77751.5,192
153,2,49,67529,37,62,73,76,88,33764.5,227
155,1,29,55108,55,68,73,78,86,55108.0,191
156,1,32,68152,55,66,71,77,86,68152.0,203
157,1,37,39659,38,56,66,76,83,39659.0,91
158,1,30,43212,36,48,53,57,65,43212.0,310
159,1,25,56818,36,50,53,58,67,56818.0,228
161,1,26,21472,36,50,53,58,67,21472.0,291
162,1,25,72370,36,51,55,57,67,72370.0,334
163,1,25,50862,38,50,53,57,63,50862.0,153
164,1,46,48489,38,57,66,71,84,48489.0,238
165,1,36,51572,38,54,64,72,83,51572.0,108
167,1,44,50930,37,54,62,68,83,50930.0,196
168,1,37,38295,37,54,63,71,81,38295.0,65
170,1,45,34186,36,53,61,70,83,34186.0,121
172,3,59,332827,36,56,65,74,95,110942.33333333331,593
173,3,57,367033,36,57,66,74,97,122344.33333333331,568
174,3,55,254829,36,55,66,76,93,84943.0,1069
175,3,61,466456,29,51,62,74,89,155485.33333333334,641
176,3,61,220275,29,51,60,70,91,73425.0,620
178,1,67,411290,29,51,64,75,96,411290.0,645
179,1,67,411253,29,51,64,75,96,411253.0,551
181,2,62,369746,30,52,62,72,91,184873.0,409
182,2,54,194211,27,55,63,70,87,97105.5,422
183,2,57,242601,31,50,62,74,91,121300.5,197
184,2,54,194145,27,55,63,70,87,97072.5,460
185,2,57,242601,31,50,62,74,91,121300.5,192
187,1,60,398257,29,51,61,72,88,398257.0,443
188,1,55,66486,29,53,61,66,87,66486.0,335
189,1,60,398257,29,51,61,72,88,398257.0,493
190,1,55,66486,29,53,61,66,87,66486.0,276
191,1,57,150382,31,55,64,74,88,150382.0,357
192,1,42,74510,30,52,62,71,86,74510.0,137
193,1,59,167863,30,50,67,74,89,167863.0,304
194,1,59,167863,30,50,67,74,89,167863.0,296
196,3,61,349811,36,56,63,74,96,116603.66666666669,941
197,3,62,411166,36,58,68,75,99,137055.33333333334,434
201,1,48,132783,38,59,65,72,89,132783.0,216
202,3,57,407004,36,54,62,70,93,135668.0,581
203,3,61,183452,36,54,64,73,97,61150.66666666666,767
204,3,60,333454,36,54,64,74,96,111151.33333333331,334
206,3,52,125316,37,57,65,72,94,41772.0,117
207,3,57,226324,36,53,63,73,94,75441.33333333333,383
208,3,50,129998,36,55,67,76,91,43332.66666666666,212
210,1,53,101298,29,51,60,70,89,101298.0,449
211,1,61,274145,24,56,64,74,89,274145.0,392
212,1,62,245150,28,55,61,69,89,245150.0,473
213,1,53,101298,29,51,60,70,89,101298.0,437
214,1,61,274274,24,56,64,74,89,274274.0,383
215,2,69,537162,28,53,64,73,96,268581.0,623
216,2,70,659304,29,58,68,77,101,329652.0,910
217,3,57,354967,36,57,65,74,93,118322.33333333331,358
219,1,61,85022,29,53,65,74,94,85022.0,137
220,1,69,223431,24,50,58,68,96,223431.0,612
221,1,51,124283,31,51,59,67,87,124283.0,313
222,1,49,80965,31,48,56,67,84,80965.0,129
223,3,41,88842,39,55,62,69,84,29614.0,227
225,3,43,223884,34,58,63,72,84,74628.0,227
228,1,52,90819,31,60,67,76,89,90819.0,297
229,1,46,102860,31,58,65,72,85,102860.0,202
230,3,59,217723,36,57,65,74,96,72574.33333333333,320
232,3,57,61582,36,54,61,71,94,20527.33333333333,461
233,1,65,533334,28,50,60,76,93,533334.0,684
234,1,73,576965,29,58,70,81,101,576965.0,794
235,1,70,119237,29,51,65,74,101,119237.0,175
236,1,71,329403,25,54,63,74,97,329403.0,1035
237,1,71,524650,24,52,63,73,94,524650.0,770
239,2,54,242226,33,57,68,76,88,121113.0,489
240,2,61,233180,28,57,67,74,91,116590.0,309
241,2,61,230662,28,57,67,74,91,115331.0,305
242,1,59,92232,28,57,64,70,88,92232.0,453
243,1,58,153939,30,56,65,75,89,153939.0,215
244,1,60,303582,29,57,69,79,89,303582.0,335
245,1,59,92232,28,57,64,70,88,92232.0,474
246,1,58,153939,30,56,65,75,89,153939.0,220
247,1,60,303191,29,57,69,79,89,303191.0,319
248,3,58,268624,38,57,65,74,97,89541.33333333333,395
249,3,45,136062,37,57,67,74,88,45354.0,354
250,3,55,345151,37,57,69,76,93,115050.33333333331,568
251,3,58,300986,37,59,68,75,95,100328.66666666669,367
252,1,61,87968,29,50,60,67,91,87968.0,448
253,1,56,181666,29,53,63,70,89,181666.0,339
254,1,60,263178,29,55,62,74,91,263178.0,441
255,1,61,87968,29,50,60,67,91,87968.0,519
257,1,60,263178,29,55,62,74,91,263178.0,480
261,2,61,268486,29,55,65,75,90,134243.0,267
262,4,50,358681,34,58,65,74,86,89670.25,460
264,4,45,183538,27,58,67,75,87,45884.5,187
265,4,47,233162,27,58,65,72,86,58290.5,217
267,1,54,83285,29,50,57,66,88,83285.0,452
268,1,56,238153,31,56,64,72,88,238153.0,423
271,2,68,464775,26,54,63,73,95,232387.5,751
272,2,56,265001,30,50,61,71,91,132500.5,363
273,2,66,398457,30,54,62,71,95,199228.5,558
274,1,58,174411,31,53,60,70,90,174411.0,386
275,1,56,101970,27,56,63,72,89,101970.0,463
276,1,60,170591,29,54,62,71,89,170591.0,275
278,1,70,522697,26,53,67,77,96,522697.0,992
279,1,73,340575,24,49,63,75,99,340575.0,548
280,1,70,522697,26,53,67,77,96,522697.0,1067
282,1,35,85213,43,60,66,74,88,85213.0,212
283,1,63,82020,28,56,65,73,95,82020.0,263
284,1,73,350925,24,55,64,74,100,350925.0,650
285,1,65,122378,30,59,70,78,94,122378.0,180
286,1,69,98726,27,55,66,78,99,98726.0,223
288,1,66,371596,30,51,63,73,97,371596.0,762
290,3,55,265329,36,55,62,71,91,88443.0,330
292,1,59,219785,29,55,65,72,89,219785.0,405
294,1,62,255708,30,55,63,73,93,255708.0,478
295,2,63,365084,29,51,61,72,91,182542.0,507
296,2,63,207479,27,51,63,72,90,103739.5,540
298,2,63,298088,29,52,62,74,92,149044.0,340
299,1,54,93359,29,51,56,63,89,93359.0,303
300,1,58,154841,29,56,65,74,89,154841.0,279
302,1,64,281297,26,53,61,70,89,281297.0,398
304,1,58,203332,31,53,63,70,89,203332.0,522
305,1,55,111841,30,49,56,63,87,111841.0,390
308,1,60,177481,31,49,58,68,92,177481.0,319
312,1,59,269910,30,53,60,69,89,269910.0,673
313,1,58,257762,31,50,62,74,89,257762.0,390
314,1,56,127354,30,53,61,69,89,127354.0,563
315,1,56,127354,30,53,61,69,89,127354.0,635
316,1,57,228322,29,55,64,75,89,228322.0,364
317,1,51,95027,32,56,63,70,89,95027.0,238
318,1,58,148399,29,55,65,76,89,148399.0,159
320,3,60,435315,36,57,65,74,96,145105.0,507
321,2,65,522605,31,60,69,78,97,261302.5,593
322,2,57,90261,28,49,58,65,87,45130.5,323
323,2,57,96939,31,55,64,72,94,48469.5,124
324,2,62,356744,31,55,66,73,98,178372.0,517
325,1,48,129534,31,55,64,72,88,129534.0,341
326,1,56,126263,30,55,62,73,89,126263.0,227
327,1,28,40923,55,68,73,76,85,40923.0,108
329,1,59,221377,31,57,67,74,90,221377.0,472
